Currency,Date,Time,Open,High,Low,Close,Volume
ZEC,2016-11-02,01:30:00,1.54099736,1.65112,1.38,1.38000002,109.7714712
ZEC,2016-11-02,01:45:00,1.38100003,1.49111111,1.35,1.46048852,45.55388476
ZEC,2016-11-02,02:00:00,1.46049852,1.48999949,1.44002758,1.46000001,51.74010314
ZEC,2016-11-02,02:15:00,1.45510008,1.52610001,1.45134003,1.52299993,25.299776089999998
ZEC,2016-11-02,02:30:00,1.522999,1.57,1.50776993,1.56899997,21.07934531
ZEC,2016-11-02,02:45:00,1.55700006,1.58529998,1.53011,1.56,15.31231521
ZEC,2016-11-02,03:00:00,1.55899993,1.56999996,1.484,1.53000024,25.95323965
ZEC,2016-11-02,03:15:00,1.549999,1.54999999,1.5,1.500001,19.097302550000002
ZEC,2016-11-02,03:30:00,1.500001,1.51905999,1.50000001,1.501,5.71778359
ZEC,2016-11-02,03:45:00,1.50099999,1.501,1.433,1.46867291,14.86746346
ZEC,2016-11-02,04:00:00,1.46867293,1.49,1.422,1.42824204,13.54555054
ZEC,2016-11-02,04:15:00,1.422,1.44107516,1.36267111,1.37,19.27660486
ZEC,2016-11-02,04:30:00,1.37,1.39999999,1.35000022,1.37989991,18.67707233
ZEC,2016-11-02,04:45:00,1.37989987,1.39299999,1.351,1.351,10.20723521
ZEC,2016-11-02,05:00:00,1.351,1.36,1.31,1.34011099,26.0648556
ZEC,2016-11-02,05:15:00,1.34011097,1.38515815,1.31111103,1.35100003,9.93718659
ZEC,2016-11-02,05:30:00,1.35999967,1.41999999,1.34549998,1.39999999,22.80436641
ZEC,2016-11-02,05:45:00,1.40999999,1.479999,1.38999999,1.4,29.78935805
ZEC,2016-11-02,06:00:00,1.39899991,1.47,1.36128546,1.45999992,20.99710516
ZEC,2016-11-02,06:15:00,1.45000103,1.62246349,1.4199953,1.59000114,30.02699853
ZEC,2016-11-02,06:30:00,1.62000112,1.742,1.50700502,1.548,79.02692617
ZEC,2016-11-02,06:45:00,1.53021501,1.625,1.53021501,1.57,24.707668430000002
ZEC,2016-11-02,07:00:00,1.57,1.60999999,1.56085436,1.56085901,17.660459109999998
ZEC,2016-11-02,07:15:00,1.560859,1.560859,1.46265844,1.51798,31.10664071
ZEC,2016-11-02,07:30:00,1.4900301,1.51999,1.43,1.44000001,9.768499689999999
ZEC,2016-11-02,07:45:00,1.43310001,1.48008601,1.43200001,1.45999999,7.91959095
ZEC,2016-11-02,08:00:00,1.45999999,1.48334673,1.44,1.48334673,11.67235596
ZEC,2016-11-02,08:15:00,1.46022502,1.52,1.46012004,1.47998854,20.0640129
ZEC,2016-11-02,08:30:00,1.47005521,1.69,1.470055,1.54,41.15164236
ZEC,2016-11-02,08:45:00,1.54,1.54599994,1.50168914,1.5070854,8.88039173
ZEC,2016-11-02,09:00:00,1.50496439,1.54609999,1.5,1.52099999,13.25065418
ZEC,2016-11-02,09:15:00,1.52099999,1.54612,1.51200001,1.54,13.89419081
ZEC,2016-11-02,09:30:00,1.54000346,1.65198601,1.52,1.63998999,71.80351184999999
ZEC,2016-11-02,09:45:00,1.60000004,1.69924468,1.60000003,1.63500001,54.72977987
ZEC,2016-11-02,10:00:00,1.63500001,1.64098997,1.583,1.6200503,18.77351196
ZEC,2016-11-02,10:15:00,1.62499999,1.670005,1.6163683,1.637,20.98619054
ZEC,2016-11-02,10:30:00,1.637,1.637,1.58812257,1.615005,10.171997
ZEC,2016-11-02,10:45:00,1.615005,1.620895,1.595,1.5999,10.142220159999999
ZEC,2016-11-02,11:00:00,1.59800025,1.619,1.59800025,1.61599999,10.04528174
ZEC,2016-11-02,11:15:00,1.61975035,1.619995,1.59800025,1.59800025,6.93212271
ZEC,2016-11-02,11:30:00,1.6,1.61878099,1.54000004,1.55,30.79409933
ZEC,2016-11-02,11:45:00,1.55000002,1.55000006,1.45101,1.515,45.57868871
ZEC,2016-11-02,12:00:00,1.52,1.55232,1.43550916,1.43550916,26.31156943
ZEC,2016-11-02,12:15:00,1.43464385,1.48556962,1.432,1.44217,31.338614410000005
ZEC,2016-11-02,12:30:00,1.44217,1.45958409,1.37300001,1.39200034,23.78675636
ZEC,2016-11-02,12:45:00,1.39201001,1.43399994,1.39201001,1.423925,15.94064229
ZEC,2016-11-02,13:00:00,1.42,1.44,1.41302,1.417,9.254846950000001
ZEC,2016-11-02,13:15:00,1.417,1.417,1.3603,1.39000501,24.67386126
ZEC,2016-11-02,13:30:00,1.39001,1.43000001,1.38,1.43000001,22.96206037
ZEC,2016-11-02,13:45:00,1.43003188,1.44,1.40053209,1.41500472,22.412503850000004
ZEC,2016-11-02,14:00:00,1.41201,1.48,1.41200005,1.41200005,31.27581985
ZEC,2016-11-02,14:15:00,1.417995,1.42,1.36600004,1.39998999,26.260201700000003
ZEC,2016-11-02,14:30:00,1.39998499,1.39998499,1.37002416,1.3711,12.882338729999999
ZEC,2016-11-02,14:45:00,1.3711,1.3822,1.37100021,1.38,10.58325716
ZEC,2016-11-02,15:00:00,1.3785,1.3808,1.335,1.33500001,24.94346079
ZEC,2016-11-02,15:15:00,1.33500001,1.33500001,1.18999002,1.23747,100.53100404
ZEC,2016-11-02,15:30:00,1.25797499,1.30000001,1.23,1.26683998,50.82033937999999
ZEC,2016-11-02,15:45:00,1.25000001,1.259,1.223,1.230005,13.02962949
ZEC,2016-11-02,16:00:00,1.22102002,1.258975,1.21302501,1.253005,17.91589446
ZEC,2016-11-02,16:15:00,1.25300501,1.318999,1.239,1.25000501,27.186427430000002
ZEC,2016-11-02,16:30:00,1.250005,1.26,1.23698001,1.24500001,10.71385639
ZEC,2016-11-02,16:45:00,1.24500002,1.250895,1.245,1.246,10.91881321
ZEC,2016-11-02,17:00:00,1.246,1.28982,1.245,1.26841,40.718624260000006
ZEC,2016-11-02,17:15:00,1.2684,1.27696,1.245,1.2500001,12.87298478
ZEC,2016-11-02,17:30:00,1.2500001,1.273,1.20849405,1.21,21.09897781
ZEC,2016-11-02,17:45:00,1.21,1.21,1.18,1.18400001,17.05270718
ZEC,2016-11-02,18:00:00,1.18400001,1.23,1.184,1.22,14.575970550000001
ZEC,2016-11-02,18:15:00,1.22,1.3939,1.20100001,1.3850006,75.06916712
ZEC,2016-11-02,18:30:00,1.38222992,1.42,1.35026682,1.400005,79.13413323
ZEC,2016-11-02,18:45:00,1.40999499,1.8,1.4,1.78,382.53599351
ZEC,2016-11-02,19:00:00,1.78000001,2.1,1.77,1.84,389.80449984
ZEC,2016-11-02,19:15:00,1.86575999,1.86575999,1.57678354,1.65521102,202.26940673000001
ZEC,2016-11-02,19:30:00,1.64,1.79526466,1.63244605,1.72966813,101.33891159999999
ZEC,2016-11-02,19:45:00,1.72966813,1.73999999,1.6,1.62000501,78.88511274
ZEC,2016-11-02,20:00:00,1.6205,1.62102,1.55,1.57002501,34.54460048
ZEC,2016-11-02,20:15:00,1.57001,1.66201352,1.4,1.465495,73.91755763
ZEC,2016-11-02,20:30:00,1.455005,1.498999,1.39989023,1.473005,69.17897587
ZEC,2016-11-02,20:45:00,1.47999999,1.4999,1.443635,1.4997,15.462609109999999
ZEC,2016-11-02,21:00:00,1.4997,1.49989999,1.40000002,1.42947999,29.498333480000003
ZEC,2016-11-02,21:15:00,1.42,1.4295,1.32940911,1.350222,36.96676684
